Comment,Designator,Supplier Part Number 1,Quantity
"TitleBlockWEMPEC, LA 55-P, M3","*1, IC1, MH1, MH2",,4
BNC,BNC1,A33798-ND,1
C0603C104Z3VACTU,"C1, C2, C3, C4, C9",399-1100-1-ND,5
GRM1885C1H102JA01D,C5,490-1451-1-ND,1
Cap,"C6, C7, C8, C10, C11",1276-2890-1-ND,5
LTST-C193KGKT-5A,DS1,160-1828-1-ND,1
LTST-C193TBKT-5A,DS2,160-1827-1-ND,1
742792609,"L1, L2, L3, L4",732-1591-1-ND,4
HDR1x3,P1,A98334-ND,1
HDR1X7,P2,A32908-ND,1
HDR1x3,P3,A106650-ND,1
Screw terminal,"P5, P6",36-8196-ND,2
ERJ-3GEYJ302V,"R1, R3",P3.0KGCT-ND,2
RC0603FR-07470RL,R2,311-470HRCT-ND,1
ERA3AEB103V,R4,P10KDBCT-ND,1
Burden resistor,R5,RHC2512FT150RCT-ND,1
ERA3AEB1072V,R6,P10.7KDBCT-ND,1
ERA3AEB4121V,R8,P4.12KDBCT-ND,1
5004,"TP1, TP2, TP3, TP4, TP5, TP6, TP7",36-5004-ND,7
ADC,U1,296-47183-ND,1
OPA320AIDBVR,U2,296-29480-1-ND,1
REF5045IDGKT,U3,296-24505-1-ND,1
