Designator,Supplier Part Number 1,Quantity,Comment
B1,WM13920-ND,1,CON_BARRIER_STRIP
BNC1,A33798-ND,1,BNC
"C1, C2, C3, C4, C9",399-1100-1-ND,5,C0603C104Z3VACTU
C5,490-1451-1-ND,1,GRM1885C1H102JA01D
"C6, C7, C8, C10, C11",1276-2890-1-ND,5,Cap
DS1,160-1828-1-ND,1,LTST-C193KGKT-5A
DS2,160-1827-1-ND,1,LTST-C193TBKT-5A
IC1,398-1019-ND,1,LV25-P
"L1, L2, L3, L4",732-1591-1-ND,4,742792609
P1,A98334-ND,1,HDR1x3
P2,A32908-ND,1,HDR1X7
P3,A106650-ND,1,HDR1x3
"R1, R3",P3.0KGCT-ND,2,ERJ-3GEYJ302V
R2,311-470HRCT-ND,1,RC0603FR-07470RL
R4,P10KDBCT-ND,1,ERA-3AEB103V
R5,PT348AFCT-ND,1,Res 0603
R6,P8.45KDBCT-ND,1,ERA3AEB8451V
R8,P4.64KDBCT-ND,1,ERA3AEB4641V
"R9, R10",WHE25KFETCT-ND,2,Res TH
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",36-5004-ND,7,5004
U1,296-47183-ND,1,ADC
U2,296-29480-1-ND,1,OPA320AIDBVR
U3,296-24507-1-ND,1,REF5050IDGKT
